"GEOID","Population","Housing_Units"
"060014423012",1193,367
"060014423013",2086,695
"060014423021",1746,586
"060014423022",2469,955
"060014423023",2202,761
"060014424001",1465,490
"060014424002",1777,529
"060014424003",1416,402
"060014424004",1689,553
"060014425011",2034,608
"060014425012",1509,446
"060014425021",1661,512
"060014425022",2315,671
"060014426011",1559,520
"060014426012",2295,764
"060014426021",1754,620
"060014426022",1911,618
"060014426023",1649,532
"060014427001",1047,361
"060014427002",1167,388
"060014427003",927,323
"060014428001",2959,953
"060014429001",2038,629
"060014429002",2665,866
"060014429003",1815,550
"060014429004",1143,353
"060014430011",1644,464
"060014430012",1244,352
"060014430021",1674,479
"060014430022",2034,617
"060014430023",2942,851
"060014431021",1286,413
"060014431022",1027,303
"060014431023",1136,354
"060014431024",1493,428
"060014431031",1678,536
"060014431032",1173,386
"060014431033",1121,313
"060014431041",1675,524
"060014431042",1318,410
"060014431043",1286,384
"060014431044",1622,574
"060014431051",2035,672
"060014431052",2652,810
"060014432001",2495,841
"060014432002",1058,337
"060014433011",1629,483
"060014433012",1722,503
"060014433013",783,248
"060014433211",2311,802
"060014433212",1200,410
"060014433221",1826,557
"060014433222",1365,415
"060014441001",2917,913
"060014441002",1598,545
"060014441003",1779,573
"060014441004",1409,575
"060014442001",1368,411
"060014442002",2415,714
"060014442003",2668,845
"060014443011",1686,546
"060014443012",1931,619
"060014443031",5,1
"060014443041",2491,667
"060014443042",4711,1631
"060014444001",1357,348
"060014444002",2173,681
"060014444003",1752,490
"060014445001",900,244
"060014445002",1696,483
"060014445003",1642,492
"060014445004",2176,785
"060014446011",2244,703
"060014446012",3839,1204
"060014446021",2860,1178
"060014446022",1917,724
"060014501011",4303,1970
"060014501012",2522,965
"060014501021",6984,1358
"060014501022",1676,487
"060014502001",1663,756
"060014502002",2522,1224
"060014502003",2271,909
"060014503001",2191,688
"060014503002",1419,591
"060014503003",1938,668
"060014504001",1914,652
"060014504002",1575,472
"060014504003",2574,1189
"060014504004",1612,540
"060014505011",1317,456
"060014505012",1961,827
"060014505021",2503,840
"060014505022",3251,1071
"060014506011",601,277
"060014506012",1527,603
"060014506013",1352,478
"060014506031",1608,510
"060014506032",1653,530
"060014506033",291,94
"060014506034",1353,425
"060014506041",1247,397
"060014506042",2011,770
"060014506043",881,291
"060014506044",759,246
"060014506051",1656,602
"060014506052",945,327
"060014506053",1336,483
"060014506061",2261,776
"060014506062",1458,475
